PROVINCIE OVERIJSSEL OPGAVE VAN HET AANTAL KRACHTSWERKTUIGEN IN DE ONDERSCHEIDENE BEROEPSKLASSEN GEBEZIGD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeenten,Krachtswerktuig gedreven door,,BEROEPSKLASSE,,,,,,,,,,,,,,,,,,,,,Totaal Krachts-werktuigen,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr.
,,,I,II,III,IV,V,VI,VII,VII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,BT,1889_06_T4,476,477,OV,310349
,Stoom,,,,,,1,1,,,,1,,,,4,1,4,,,1,,,13,BT,1889_06_T4,476,477,OV,310349
Hengelo,Water,,,,,,,,,,,,,,,,,1,,,,,,1,BT,1889_06_T4,476,477,OV,310349
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,BT,1889_06_T4,476,477,OV,310349
Holten,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,BT,1889_06_T4,476,477,OV,310349
,stoom ,,4,1,,,1,,,,,2,1,,1,1,,11,,,2,,,24,BT,1889_06_T4,476,477,OV,310349
Kampen,Wind,,,,,,1,,,,,,,,,,,3,,,,,,4,BT,1889_06_T4,476,477,OV,310349
Kamperveen ,Wind,,,,,,,,,,,,,,,,,1,,,,,2,3,BT,1889_06_T4,476,477,OV,310349
Kuinre,Stoom ,,,,,,,,,,,,,,,,,1,,,,,,1,BT,1889_06_T4,476,477,OV,310349
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,BT,1889_06_T4,476,477,OV,310349
Lonneker,Stoom,,2,,,,,1,,,,,,,,,,,,,,,,3,BT,1889_06_T4,476,477,OV,310349
,Wind,,,,,,,,,,,,,,,,,5,,,,,,5,BT,1889_06_T4,476,477,OV,310349
losser,Stoom,,,,,,,,,,,,1,,,,,,,,,,,1,BT,1889_06_T4,476,477,OV,310349
,Wind,,,,,,,,,,,,,,,,,5,,,,,,5,BT,1889_06_T4,476,477,OV,310349
Markelo,wind,,,,,,,,,,,,,,,,,6,,,,,,6,BT,1889_06_T4,476,477,OV,310349
Nieuwleusen,Wind,,,,,,,,,,,,,,,,,4,,,,,,4,BT,1889_06_T4,476,477,OV,310349
Oldenmarkt,Water,,,,,,,,,,,,,,,,,,,,1,,,1,BT,1889_06_T4,476,477,OV,310349
,wind,,,,,,,,,,,,,,,,,2,,,,,,2,BT,1889_06_T4,476,477,OV,310349
Oldenzaal,Stoom,,2,,,,,,,,,,,,,5,,4,,,,,,11,BT,1889_06_T4,476,477,OV,310349
Olst,Stoom,,1,,,,,,,,,1,,,,,,3,,,1,,,6,BT,1889_06_T4,476,477,OV,310349
,Gas,,,,,,,,,,,,,,,,,1,,,,,,1,BT,1889_06_T4,476,477,OV,310349
,Wind,,,,,,,,,,,,,,,,,4,,,,,,4,BT,1889_06_T4,476,477,OV,310349
Ommen (stad),Wind,,,,,,,,,,,,,,,,,3,,,,,,3,BT,1889_06_T4,478,479,OV,310350
ommen (Ambt),Stoom,,,,,,,,,,,,,,,,,2,,,,,,2,BT,1889_06_T4,478,479,OV,310350
,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,BT,1889_06_T4,478,479,OV,310350
Oostmarsum,Stoom,,,,,,,,,,,,,,,1,,1,,,,,,2,BT,1889_06_T4,478,479,OV,310350
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,BT,1889_06_T4,478,479,OV,310350
Raalte,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,BT,1889_06_T4,478,479,OV,310350
,Wind,,,,,,,,,,,,,,,,,7,,,,,,7,BT,1889_06_T4,478,479,OV,310350
Rijssen,Stoom ,,,,,,,,,,,,,,,2,,,,,,,,2,BT,1889_06_T4,478,479,OV,310350
,Wind,,,,,,,,,,,,,,,,1,4,,,,,,5,BT,1889_06_T4,478,479,OV,310350
Staphorst,Wind,,,,,,,,,,,,,,,,,4,,,1,,,5,BT,1889_06_T4,478,479,OV,310350
Steenwijk,Stoom,,,,,,3,,,,,,,,,,,,,,,,,3,BT,1889_06_T4,478,479,OV,310350
,water,,,,,,,,,,2,,,,,,,,,,,,,2,BT,1889_06_T4,478,479,OV,310350
,Wind,,,,,,4,,,,,,,,,,,3,,,,,,7,BT,1889_06_T4,478,479,OV,310350
Steenwijkerwold,Wind,,,,,,,,,,16,,,,,,,1,2,,,,,19,BT,1889_06_T4,478,479,OV,310350
Tubbergen,Stoom,,,,,,,,,,,,,,,3,,1,,,,,,4,BT,1889_06_T4,478,479,OV,310350
,Water,,,,,,,,,,,,,,,,,3,,,,,,3,BT,1889_06_T4,478,479,OV,310350
,Wind,,,,,,,,,,,,,,,,,6,,,,,,6,BT,1889_06_T4,478,479,OV,310350
Vollehove (Stad),Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,BT,1889_06_T4,478,479,OV,310350
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,BT,1889_06_T4,478,479,OV,310350
Vollehove (Ambt),Wind,,,,,,,,,,,,,,,,,1,,,,,,1,BT,1889_06_T4,478,479,OV,310350
Vriezenveen,Stoom,,,,,,,,,,,,,,,1,,1,,,,,,2,BT,1889_06_T4,478,479,OV,310350
,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,BT,1889_06_T4,478,479,OV,310350
Wanneperveen,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,BT,1889_06_T4,478,479,OV,310350
Weerselo,Stoom,,,,,,1,,,,,,,,,,,1,,,,,,2,BT,1889_06_T4,478,479,OV,310350
,wind,,,,,,,,,,,,,,,,,4,,,,,,4,BT,1889_06_T4,478,479,OV,310350
Wierden,Wind,,,,,,,,,,,,,,,,,5,,,,,,5,BT,1889_06_T4,478,479,OV,310350
Wijhe,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,BT,1889_06_T4,478,479,OV,310350
,Wind,,,,,,,,,,,,,,,,,4,,,,,,4,BT,1889_06_T4,478,479,OV,310350
Zalk en veecaten ,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,BT,1889_06_T4,478,479,OV,310350
Zwartsluis,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,BT,1889_06_T4,478,479,OV,310350
Zwolle,Stoom,,3,,,,4,3,,1,,3,,,1,,4,8,,,1,,,28,BT,1889_06_T4,478,479,OV,310350
,Wind,,,,,,3,,,,,,,,,,1,5,,,,,,9,BT,1889_06_T4,478,479,OV,310350
Zwollerkerspel,Stoom,,,,,,,,,,,,,,,,,,,,,,1,1,BT,1889_06_T4,478,479,OV,310350
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,BT,1889_06_T4,478,479,OV,310350
Totaal,Stoom,,16,4,1,2,14,8,0,1,0,15,2,1,9,93,8,65,0,0,11,0,1,251,BT,1889_06_T4,478,479,OV,310350
Totaal,Gas,,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,11,0,0,0,0,0,15,BT,1889_06_T4,478,479,OV,310350
Totaal,Water,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,14,1,0,1,0,0,19,BT,1889_06_T4,478,479,OV,310350
Totaal,Wind,,0,0,0,0,8,0,0,0,16,0,0,0,0,0,2,158,2,0,2,0,8,196,BT,1889_06_T4,478,479,OV,310350
Algemene totaal,,,16,5,2,2,22,8,0,1,18,17,2,1,9,94,10,248,3,0,14,0,9,484,BT,1889_06_T4,478,479,OV,310350
