Tabel 6:Opgave van het aantal krachtswerktuigen in de onderscheidende beroepsklassen gebezigd.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,Gedreven door,,I,II,III,IV,V,VI,VII,VII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,Totaal,Imagenr.
,Gas,,,,,,,,,,,,,,,,,1,,,3,,,4,
,Wind,,,,,,,,,,,,,,,,,4,,,,,,4,
Huizen,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Ilpendam,Stoom,,,,,,,,,,,,,,,,,,,,,,1,1,
,Wind,,,,,,,,,,,,,,,,,1,,,,,3,4,
Jisp,Wind,,,,,,,,,,,,,,,,3,,,,,,,3,
Katwoude,Wind,,,,,,,,,,,,,,,,,,,,,,3,3,
Koedijk,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Koog aan den Zaan,Stoom,,,1,,1,,,,,,1,1,,,,6,5,,,,,,15,
,Gas,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind,,,,,,3,,,,,1,,,,,11,4,,,1,,,20,
Kortehoef,Wind,,,,,,,,,,,,,,,,,1,,,,,3,4,
Krommenie,Stoom,,,,,,,,,,,,,,,,,2,,,,2,,4,
,Gas,,,,,,,,,,,1,,,,,,,,,,,,1,
,Wind,,,,,,,,,,,,1,,,,,3,,,,,,4,
Kwadijk,Stoom,,,,,,,,,,,,,,,,,,,,,,2,2,
Landsmeer,Water,,,,,,,,,,,,,,,,,2,,,,,,2,
Laren,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Limmen,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Sint Maarten,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,,,,,,2,2,
Medemblik,Stoom,,,,,,,,,,,,,,,,,,,,,,1,1,
,Wind,,,,,,,,,,,,,,,,,2,,,,,16,18,
Midwoud,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Monnikendam,Wind,,,,,,,,,,,,,,,,,1,,,,,3,4,
Muiden,Stoom,,,,,1,,,,,,,,,,,,,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,1,,,,,3,4,
Naarden,Stoom,,,,,,2,,,,,,,,,,,2,,,,,,4,
,Wind,,,,,,,,,,,,,,,,,1,,,,,2,3,
Nederhorst den Berg,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Nieuwedam,Wind,,,,,,1,,,,,,,,,,,1,,,1,,1,4,
Nieuwe-Niedorp,Wind,,,,,,,,,,,,,,,,,2,,,,,5,7,
Nieuwer Amstel,Stoom,,8,,,,,,,,,,,,,,,4,,,1,,,13,
,Wind,,,,,,,,,,,,,,,,,,,,,,6,6,
Noord- Scharwoude,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Obdam,Wind,,,,,,,,,,,,,,,,,,,,,,2,2,
Oosthuizen,Wind,,,,,,,,,,,,,,,,,,,,,,3,3,
Oostzaan,Wind,,,,,,,,,,,,,,,,,2,,,,,3,5,
Oterleek,Water,,,,,,,,,,,,,,,,,,1,,,,,1,
Oudendijk,Stoom,,,,,,,,,,,,,,,,,,,,,,2,2,
Oude-Niedorp,Water,,,,,,,,,,,,,,,,,,1,,,,,1,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Oude-Amstel,Stoom,,,,,8,,,,,5,1,,,,,,,,,1,,,15,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Oudkarspel,Wind,,,,,,,,,,,,,,,,,1,,,1,,,2,
Oudorp,Wind,,,,,,,,,,,,,,,,,1,,,,,16,17,
Pancras (St),Wind,,,,,,,,,,,,,,,,,1,,,,,3,4,
Petten,Wind,,,,,,,,,,,,,,,,,,,,,,1,1,
Purmerend,Stoom,,2,1,1,,,,,,,,,,,,,,,,1,,1,6,
,Gas,,1,1,,,1,,,,,,,,,,,,,,,,,3,
,Wind,,,,,,,,,,,,,,,,,1,,,1,,2,4,
Ransdorp,Stoom,,,,2,,,,,,,,,,,,,,,,,,2,4,
Rijp (de),Stoom,,,,,,,,,,,,,,,,,1,,,1,,,2,
,Wind,,1,,,,,,,,,,,,,,,1,,,,,,2,
Schagen,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,1,,,,,4,5,
Schellinkhout,Wind,,,,,,,,,,,,,,,,,,,,,,2,2,
Schermerhorn,Stoom,,,,,,,,,,,,,,,,,1,,,,,1,2,
,Wind,,,,,,,,,,,,,,,,,,,,,,15,15,
Schoorl,Wind,,,,,,,,,,,,,,,,,1,,,,,2,3,
Schoten,Water,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Sloten,Stoom,,,,,,,,,,,,,,,,,2,,,,,1,3,
,Wind,,,,,,,,,,,,,,,,,,,,,,9,9,
Spaarndam,Stoom,,,,,,,,,,,,,,,,,,,,,,1,1,320372
Spanbroek,Stoom,,,,,,,,,,,,,,,,,,,,,,1,1,
,Wind,,,,,,1,,,,,,,,,,,,,,,,1,2,
Sybekarspel,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Terschelling,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Texel,Wind,,,,,,,,,,,,,,,,,2,,,,,1,3,
Twisk,Water,,,,,,,,,,,,,,,,,1,2,,,,,3,
,Wind,,,,,,,,,,,,,,,,,1,1,,,,,2,
Uitgeest,Stoom,,,,,,2,,,,,,,,,,,,,,,,1,3,
,Wind,,,,,,,,,,,,,,,,,1,,,,,7,8,
Uithoorn,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Velsen,Stoom,,,,,,,1,,,,,,,1,,,,,,,,3,5,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Venhuizen,Stoom,,,,,,,,,,,,,,,,,,,,,,4,4,
,Wind,,,,,,,,,,,,,,,,,2,,,,,4,6,
Warder,Water,,,,,,,,,,,,,,,,,,1,,,,,1,
Warnenhuizen,Wind,,,,,,,,,,,,,,,,,1,,,,,1,2,
Watergraafsmeer,Stoom,,,,1,,,,,,,,,,,,,,,,,,1,2,
Weesp,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,4,,,,,,4,
Weesperkaspel,Stoom,,,,,,,,,,,,,,,,,,,,,,3,3,
,Wind,,,,,,,,,,,,,,,1,,,,,,,2,3,
Wervershoof,Stoom,,,,,,,,,,,,,,,,,,,,,,1,1,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Westzaan,Stoom,,,,,,,,,,,,,1,,,,,,,,,,1,
,Wind,,,,,,,,,,,,,1,,,,4,,,1,,,6,
Wieringen,Stoom,,,,,,,,,,,,,,,,,,1,,,,,1,
,Wind,,,,,,,,,,,,,,,,,4,,,,,3,7,
Wieringerwaard,Stoom,,,,,,,,,,,,,,,,,,4,,,,,4,
,Wind,,,,,,,,,,,,,,,,,2,1,,,,,3,
Winkel,Stoom,,,,,,,,,,,,,,,,,1,8,,,,,9,
,Gas,,,,,,,,,,,,,,,,,,2,,,,,2,
,Wind,,,,,,,,,,,,,,,,,2,,,,,12,14,
Wognum,Wind,,,,,,,,,,,,,,,,,2,,,1,,3,6,
Wormer,Wind,,,,,,,,,,,,,,,,,3,,,,,2,5,
Wormerveer,Stoom,,,,,,1,,,,,1,,2,,,5,4,,,1,1,,15,
,Gas,,,,,,,,,,,,,,,,,,,,1,,,1,
,Wind,,,,,2,,,,,,,,,,,6,3,,,,1,,12,
Wijdewormer,Stoom,,,,,,,,,,,,,,,,,,,,,,2,2,
,Wind,,,,,,,,,,,,,,,,,1,,,,,2,3,
Wijk aan Zee en Duin,Wind,,,,,,,,,,,,,,,,,,,,,,1,1,
Zaandam,Stoom,,,,,1,8,1,,,,3,1,,,,2,8,,,15,,,39,
,Gas,,,,,,,,,,,,,,,,,,,,1,,,1,
,Wind,,2,,,3,15,,,,,,,,,,5,35,,,18,,,78,
Zaandijk,Stoom,,,,,,1,,,,1,2,,,1,,1,,,,,,,6,
,Gas,,,1,,,,,,,,,,,,,,1,,,,,,2,
,Wind,,,,,,1,,,,,,1,,,,1,7,,,2,,3,15,
Zuid-Scharwoude,Stoom,,,,,,,,,,,,,,,,,,,,,,2,2,
,Wind,,,,,,,,,,,,,,,,,,,,,,1,1,
Zijpe (de),Stoom,,,,,,,,,,,,,,,,,,,,,,1,1,
,Wind,,,,,,,,,,,,,,,,,3,,,,,12,15,
,,,,,,,,,,,,,,,,,,,,,,,,,
Totaal,Stoom,,18,32,19,23,31,54,0,7,12,29,9,12,23,5,28,117,24,0,40,8,53,544,
Totaal,Gas,,1,26,1,1,4,0,0,0,0,3,0,1,4,1,0,19,2,0,11,0,0,74,
Totaal,Water,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5,7,0,4,0,0,19,
Totaal,Wind,,4,0,1,6,25,0,0,0,0,1,2,1,0,1,30,181,4,0,34,1,244,535,
Algemeen totaal,,,23,58,21,31,61,54,0,7,12,33,11,14,27,7,59,322,37,0,89,9,297,1172,
