Tabel 6: Opgave van het aantal krachtswerktuigen in de onderscheidende beroepsklassen gebezigd.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,,,I,II,III,IV,V,VI,VII,VII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,Totaal,Imagenummer
Ewijk,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2,
Gameren,Water.,,,,,,,,,,,,,,,,,1,,,,,,1,
Geldermalsen,Wind.,,,,,,,,,,,,,,,,,1,,,,,1,2,
,Stoom.,,1,,,,,,,,,,,,,,,1,,,,,,2,
Gendringen,Wind.,,,,,,,,,,,,,,,,,4,,,,,,4,
,Stoom.,,3,,,,,,,,,,,,,,,,,,,,,3,
Gent,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Stoom.,,,,,,,,,,,,,,,,1,,,,,,,1,
Gorssel,Wind.,,,,,,,,,,,,,,,,,7,,,,,,7,
,Stoom.,,,,1,,,,,,,,,,,1,,,,,,,,2,
Groenlo,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3,
,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1,
Groesbeek,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2,
,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1,
Haaften,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Stoom.,,,,,,,,,,,,,,,,,,1,,,,,1,
Harderwijk,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3,
Hattem,Stoom.,,,,,,,,,,,,,,,,1,1,,,,,,2,
,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1,
Hedel,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2,
,Stoom.,,1,,,,,,,,,,,,,,,1,,,1,,,3,
Heerde,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
heerewaarden,Stoom.,,1,,,,,,,,,,,,,,,1,,,,,,2,
Hemmen,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Stoom.,,,,,,,,,,,,,,,,,3,,,,,,3,
Hengelo,Wind.,,,,,,,,,,,,,,,,,5,,,,,,5,
Herwen en Aerdt,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3,
Herwijnen,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Stoom.,,5,,,,,,,,,,,,,,,,,,,,,5,
Heteren,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2,
,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1,
Heumen,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2,
Hoevelaken,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
Horssen,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2,
Huissen,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1,
Hummelo,Water.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3,
,Stoom.,,1,,,,,,,,,,,,,,,,,,,,,1,
Hurwenen,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Stoom.,,,,,,,,,,,,,,,,,2,,,,,,2,
Kesteren,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Stoom.,,,,,,,,,,,,,,,,,3,,,,,,3,
Laren,Wind.,,,,,,,,,,,,,,,,,4,,,,,,4,
,Stoom.,,,,,,,,,,,,,,,,,4,,,,,,4,
Lichtenvoorde,Wind.,,,,,,,,,,,,,,,,,5,,,,,,5,
,Stoom.,,1,,,,,,,,,,,,,,,3,,,,,,4,
Lienden,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3,
,Stoom.,,,,,1,,2,,2,,,,,,,,,,,,,,5,
Lochem,Water.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3,
,Stoom.,,2,,,,,,,,,,,,,,,,,,,,,2,
Maurik,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2,
,Stoom.,,1,,,,,,,,,,,,,,,,,,,,,1,
Millingen,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
Nederhemert,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Stoom.,,,,,,,,,,,,,,,4,,,,,,,,4,
Neede,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2,
Nijkerk,Wind.,,,,,,,,,,,,,,,,,3,,,2,,,5,
,Stoom.,,1,,1,,,,,,1,,,,3,,,14,,,3,4,,27,
,Gas.,,,3,,,,,,,,,,,,,,5,,,,,,8,
Nijmegen,Water.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3,
Oldebroek,Water.,,,,,,,,,,,,,,,,,2,,,,,,2,320096
,Wind.,,,,,,,,,,,,,,,,,4,,,,,,4,
Overasselt,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3,
Pannerden,Stoom.,,,,1,,,,,,,,,,,,,,,,,,,1,
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
Poederoijen,Stoom.,,,,,,,,,,,,,,,,,,,,,,2,2,
