Tabel 7: Opgave van het aantal krachtswerktuigen in de onderscheidene beroepsklassen gebezigd,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,Gedreven door,,I,II,III,IV,V,VI,VII,VII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,Totaal
Hellevoetsluis,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Helvoet (nieuw),Stoom.,,,,,,,,,,,,,,,,,,,,,1,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Hendrik-ldo-Ambacht,Stoom.,,1,,,,,,,,,,,,,14,,,,,,,,15
Herkingen,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Heukelum,Wind.,,,,,,,,,,,,,,,,,1,,,,,1,2
Hillegersberg,Stoom.,,,,,,1,,,,,,,,,,,4,,,,,2,7
,Wind.,,,,,,,,,,,,,,,,1,1,,,,,2,4
Hillegom,Water.,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,,,,,,3,3
Hof van Delft,Stoom.,,,,,3,,,,,1,,,,,,,1,,,,,,5
,Wind.,,,,,,,,,,,,,,,,,2,,,,,6,8
Hoogvliet,Stoom.,,,,,,,,,,,,,,,,,,,,,,2,2
,Wind.,,,,,,,,,,,,,,,,,1,,,,,1,2
Ijsselmonde,Stoom.,,1,,,,1,1,,,,,,,,,,,,,,,,3
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Katwijk,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Kethel,Stoom.,,,,,,,,,,,,,,,,,1,,,,,1,2
,Wind.,,,,,,,,,,,,,,,,,1,,,,,1,2
Koudekerk,Wind.,,,,,,,,,,,,,,,,,,,,,,2,2
Kralingen,Stoom.,,1,,,1,,,,1,,,,,,3,2,3,,,,,,11
,Water.,,,,,,,,,,,,,,,,,5,,,,,,5
,Wind.,,,,,1,,,,,,,,,,,,1,,,,,,2
Krimpen aan de Lek,Stoom.,,,,,,2,,,,1,,,1,,,,2,,,,1,1,8
,Gas,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Krimpen aan de Ijssel,Stoom.,,3,,,,,,,,,,,,,,,,,,,,,3
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Langerak,Stoom.,,1,,,,,,,,,,,,,,,,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,3,4
Lange-Ruige-Weide,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Leerbroek,Wind.,,,,,,,,,,,,,,,,,,,,,,3,3
Leerdam,Stoom.,,,,,,1,,,,,,,,,,,2,,,2,1,1,7
,Gas,,1,,,,,,,,,,,,,,,,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,7,8
Leiden,Stoom.,,1,1,,2,2,9,,1,1,4,,1,,8,3,12,,,7,1,,53
,Gas,,,4,,,,,,,,,,,,,,4,,,3,,,11
,Water.,,,,,,,,,,,,,,,,1,,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,3,,,1,,,4
Leiderdorp,Stoom.,,5,,,1,,1,,,,,,,1,,1,,,,,1,,10
,Wind.,,,,,,,,,,,,,,,,,,,,,,4,4
Leimuiden,Stoom.,,,,,,,,,,,,,,,,,,,,,,1,1
,Wind.,,,,,,1,,,,,,,,,,,1,,,,,2,4
Lekkerkerk,Stoom.,,,,,,,,,,,,,,,,,1,,1,,3,,5
,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Lekkerland (Nieuw),Stoom.,,,,,,,,,,,,,3,1,,,,,,,,,4
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Lexmond,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,1,2
Lier (de),Wind.,,,,,,,,,,,,,,,,,1,,,,,2,3
Lisse,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,2,3
Loosduinen,Stoom.,,,,,,,8,,,,,,,,,,1,,,,,,9
,Wind.,,,,,,,,,,,,,,,,,1,,,,,2,3
Maasdam,Wind.,,,,,,,,,,,,,,,,,1,,,,,1,2
Maasland,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Maassluis,Stoom.,,,,,,,2,,,,,,,,1,,,,1,1,15,,20
,Gas,,,1,,,,,,,,,,,,,,,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Meerkerk,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,1,2
Middelharnis,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Mijnsheersenland,Wind.,,,,,,,,,,,,,,,,,1,,,,,4,5
Moercapelle,Wind.,,,,,,,,,,,,,,,,,,,,,,7,7
Molenaarsgraaf,Wind.,,,,,,,,,,,,,,,,,,,,,,5,5
Monster,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Moordrecht,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
,Gas.,,,,,,,,,,,,,,,1,,,,,,,,1
,Wind.,,,,,,,,,1,,,,,,,,1,,,,,,2
Naaldwijk,Stoom.,,,,1,,,,,,,,,,,,,1,,,,,1,3
,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Nieuwenhoorn,Stoom.,,,,,,,,,,,,,,,,,,,,,,3,3
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Nieuwerkerk a/d Ijsel,Stoom.,,2,,,,,,,,,,,,,,,1,,,,,4,7
,Wind.,,,,,,,,,,,,,,,,,1,,,,,2,3
Nieuwkoop,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Nieuwveen,Water,,,,,,,,,,,,,,,,,7,,,,,,7
,Wind.,,,,,,1,,,,,,,,,,,1,,,,,,2
Noordeloos,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Noordwijk,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
Nootdorp,Stoom.,,,,,,,,,,,,,,,,,,,,,,1,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Numansdorp,Wind.,,,,1,,,,,,,,,,,,,2,,,,,,3
Oegstgeest,Stoom.,,3,,,1,,,,,,,,,,,,1,,,,,,5
,Wind.,,,,,,,,,,,,,,,,,1,,,5,,,6
Ooltgenplaat,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Oostvoorne,Wind.,,,,,,,,,,,,,,,,,1,20,,,,,21
Ottoland,Wind.,,,,,,,,,,,,,,,,,1,,,,,3,4
Ouddorp,Stoom.,,,,,1,,,,,,,,,,,,,,,,,,1
Oudenhoorn,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Ouderkerk a/d Ijsel,Stoom.,,3,,,,,2,,,,,,,,,,2,,,,,,7
,Wind.,,,,,,,,,,,,,,,,,,,,,,5,5
Oudewater,Stoom.,,,,1,,,,,,,,,,,,1,1,,,,1,,4
Oudshoorn,Stoom.,,3,,,,,,,,,,,,,,,2,,,1,,1,7
,Wind.,,,,,,,,,,,,,,,,,,,,,,6,6
Overschie,Stoom.,,,,,,,,,,,,,,,,,3,,,,,1,4
,Water,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,2,2,,,,,8,12
Papendrecht,Stoom.,,,,5,,,,,,,,,,1,,,,,,,6,,12
,Wind.,,,,,,,,,,,,,,,,,1,,,,,1,2
Pernis,Stoom.,,,,,,,,,,,,,,,,,,,,,,2,2
,Water,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,,,,,,4,4
Peursum,Wind.,,,,,,,,,,,,,,,,,,,,,,1,1
Piershil,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Pijnacker,Stoom.,,,,,,,,,,,,,,,,,,,,,,1,1
,Water,,,,,,,,,,,,,,,,,5,,,,,,5
,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Poortugaal,Stoom.,,,,,,,,,,,,,,,,,,,,,,1,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Puttershoek,Stoom.,,,,,,,,,,,,,,,,,,,,,,1,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Reeuwijk,Stoom.,,,,,,,,,,2,,,,,,,,,,,,,2
,Wind.,,,,,,1,,,,,,,,,,,1,,,,,,2
Rhoon,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Ridderkerk,Stoom.,,,,,,5,,,1,,2,,,3,,,1,1,,,,1,14
,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3
Rietveld,Stoom.,,2,,,,,,,,,,,,,,,,,,,,,2
,Wind.,,,,,,,,,,,,,,,,,,,,,,1,1
Rijswijk,Stoom.,,,,,,,1,,,,,,,,,,1,,,,,5,7
,Wind.,,1,,,,,,,,,,,,,,,1,,,,,,2
Rockanje,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Rotterdam,Stoom.,,2,14,10,3,10,8,,1,1,17,,8,10,1,2,44,,,11,29,,171
,Gas.,,,12,3,1,,,,,,2,,,1,,,14,,,6,,,39
,Wind.,,,,,,1,,,,,1,,,,,2,7,,,6,,,17
Rozenburg,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Sassenheim,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,1,,,,,,,,,,,,,,,,,1
Schiebroek,Wind.,,,,,,,,,,,,,,,,,,,,,,3,3
Schiedam,Gas.,,,1,,,1,1,,,,2,,,,,,12,,,,1,,18
,Wind.,,,1,,,,,,,,,,,,,,,,,,,,1
,Stoom.,,,,,,,,,,,,,,,,,3,,,,,,3
Schipluiden,Stoom.,,,,,,,,,,,,,,,,,,,,,,1,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Schoonhoven,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,2,3
Schoonrewoerd,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Sliedrecht,Stoom.,,,,14,,,,,,,,,,,,,,1,,,1,,16
,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Sommelsdijk,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Spijkenisse,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Stad aan 't Haringvliet,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Stellendam,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Stolwijk,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Stompwijk,Stoom.,,,,,,,,,,,,,,,,,1,,,,,10,11
,Wind.,,,,,,,,,,,,,,,,,1,,,,,7,8
Streefkerk,Wind.,,,,,,,,,,,,,,,,,1,,,,,6,7
Strijen,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Tonge (Nieuwe),Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Tonge (Oude),Stoom.,,,,,,,,,,,,,,,,,1,,,,,1,2
,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Valkenburg,Stoom.,,1,,,,,,,,,,,,,,,,,,,,,1
Veur,Wind.,,,,,,1,,,,,,,,,,,,,,,,1,2
Vianen,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
,Gas.,,,1,,,,,,,,,,,,,,,,,,,,1
Vlaardingen,Stoom.,,,,,,2,,,,,,,1,,,1,5,,,,4,,13
,Gas.,,,1,,,,,,,,1,,,,,,,,,,,,2
,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3
Vlaardinger-Ambacht,Stoom.,,,,,,,,,,,,,,,,,1,,,,,1,2
,Wind.,,,,,,,,,,,,,,,,,1,,,,,1,2
Vlist,Wind.,,,,,,,,,,,,,,,,,,,,,,1,1
Voorburg,Stoom.,,,,,,,1,,,,,,,,,1,1,,,,,,3
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Voorhout,Wind.,,,,,,,,,,,,,,,,,,,,,,1,1
Voorschoten,Stoom.,,,,,,,,,,,1,,,,1,,,,,,,,2
,Gas.,,,,,,,,,,,1,,,,,,,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,6,7
Vrijenban,Stoom.,,1,,1,1,1,1,,,,,,,1,,2,2,,,,,,10
,Wind.,,,,,,,,,,,,,,,,,3,,,,,4,7
Waarder,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
Waddinxveen,Stoom.,,,,1,,1,,,,,,3,,,,,1,1,,,,,7
,Wind.,,,,,,1,,,,,,,,,,,2,,,,,,3
Warmond,Gas.,,,,,,,,,,1,,,,,,,,,,,,,1
,Water.,,,,,,,,,,,,,,,,,,1,,,,,1
,Wind.,,,,,,,,,,,,,,,,,,,,,,6,6
Wassenaar,Wind.,,,,,,,,,,,,,,,,,1,,,,,3,4
Wateringen,Wind.,,,,,,1,,,,,,,,,,,1,,,,,1,3
Westmaas,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Woerden,Stoom.,,6,,,,,1,,,,,,,,,,1,,,,1,,9
,Wind.,,,,,,,,,,,,,,,,,1,,,,,2,3
Woubruggen,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,7,8
Zegwaard,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Zevenhoven,Stoom.,,,,,,,,,,,,,,,,,,,,,,5,5
Zevenhuizen,Stoom.,,,,1,,,,,,,,,,,,,1,1,,,1,,4
,Wind.,,,,,,,,,,,,,,,,,1,,,,,13,14
Zoetermeer,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
Zoeterwoude,Stoom.,,,,,,1,1,,,,,1,,,3,2,2,,,,,,10
,Wind.,,,,,,,,,,,,,,,,1,1,,,,,1,3
Zuidland,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Zwammerdam,Stoom.,,1,,,,1,,,,,,,,,,,1,,,,,,3
,Gas.,,,,,,,,,,,,,,,,1,,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,1,,,2
Zwartewaal,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Zwijndrecht,Stoom.,,1,,1,,,,,,,,,,,,1,1,,,3,1,,8
,Wind.,,,,,,,,,,,,,,,,,1,,,,,4,5
,,,,,,,,,,,,,,,,,,,,,,,,
Totaal,Stoom,,66,16,45,19,40,64,0,4,7,30,6,15,22,42,30,159,7,3,29,71,59,734
Totaal,Gas,,1,21,3,2,2,1,0,0,1,6,0,0,1,2,1,34,0,0,11,1,0,87
Totaal,Water,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,1,0,0,0,0,22
Totaal,Wind,,2,1,1,1,14,0,0,1,0,1,1,0,0,1,11,181,22,0,20,0,249,506
Algemeen Totaal,,,69,38,49,22,56,65,0,5,8,37,7,15,23,45,44,393,30,3,60,72,308,1349
