T5: Opgave van het aantal krachtswerktuigen in de onderscheidene beroepsklassen gebezigd.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,Gedreven door,,I,II,III,IV,V,VI,VII,VII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,Totaal
,,,,,,,,,,,,,,,,,,,,,,,,
Aagtekerke,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Aardenburg,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3
Annaland (St.),Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Arnemuiden,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Axel,Wind.,,,,,,,,,,,,,,,,,4,,,,,,4
Baarland,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Biervliet,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Biggerkerke,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Borsselen,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Boschkapelle,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Breskens,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Brouwershaven,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Bruinisse,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Burgh,Stoom.,,,,,1,1,,,,,,,,,,,,,,,,,2
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Cadzand,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Clinge,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Colijnsplaat,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Domburg,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Dreischor,Stoom.,,,,,1,,,,,,,,,,,,,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Driewegen,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Eede,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Elkerzee,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Ellewoutsdijk,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Goes,Stoom.,,,2,,1,1,,,,,,,,,,,2,1,,,,,7
,Wind.,,,,,,,,,,,,,,,,,2,,,1,,,3
Graauw en Langendam,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
s-Gravenpolder,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Grijpskerke,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Groede,Wind.,,,,,,,,,,,,,,,,,5,,,,,,5
Haamstede,Stoom.,,,,,1,,,,,,,,,,,,,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
s Heer-Abtskerke,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
s Heer-Arendskerke,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3
s Heerenhoek,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Heinkenszand,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Hoedekenskerke,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Hoek,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Hontenisse,Stoom.,,,,,,,,,,,,,,,,,1,,,,1,,2
