T5: Opgave van het aantal krachtswerktuigen in de onderscheidene beroepsklassen gebezigd.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,Gedreven door,,I,II,III,IV,V,VI,VII,VII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,Totaal
,Wind.,,,,,,,,,,,,,,,,,8,,,,,,8
Hoofdplaat,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Hulst,Stoom.,,,,,,,,,,,,,,,,,3,,,,,,3
,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Ijzendijke,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3
Janssteen (St.),Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Kapelle,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Kats,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Kattendijke,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Kerkwerve,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Kloetinge,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Koewacht,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Kortgene,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Koudekerke,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3
Krabbendijke,Stoom.,,,,,,,,,,,,,,,,,,1,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Kruiningen,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Kruis (St.),Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Laurens (St.),Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Maartensdijk (St.),Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Meliskerke,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Middelburg,Stoom.,,1,,,,2,1,,,,2,,,3,,3,4,,,,6,,22
,Gas.,,,1,,,1,,,,,2,,,2,,,,,,1,,,7
,Wind.,,,,,,,,,,,,,,,,1,4,,,,,,5
Neuzen,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3
Nieuw- en St. Joosland,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Nieuwerkerk,Stoom.,,,,,3,,,,,,,,,,,,,1,,,,1,5
,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Nieuwvliet,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Noordgouwe,Stoom.,,,,,1,,,,,,,,,,,,,,,,,,1
Noordwelle,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Oostburg,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Oost- en West-Souburg,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Oosterland,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Oostkapelle,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Ossenisse,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
,Stoom.,,,,,,,,,,,,,,,,,,,,,,,0
Oud-Vossemeer,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Ouwerkerk,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
,Stoom.,,,,,,,,,,,,,,,,,,,,,,,0
Overslag,Water.,,,,,,,,,,,,,,,,,,,,,,,0
,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Ovezande,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Phillippine,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Philipsland (St.),Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Poortvliet,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Renesse,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Retranchement,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
,Stoom.,,,,,,,,,,,,,,,,,,,,,,,0
Rilland-Bath,Water.,,,,,,,,,,,,,,,,,,,,,,,0
,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Ritthem,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
,Stoom.,,,,,,,,,,,,,,,,,,,,,,,0
Sas van Gent,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Scherpenisse,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Schoondijke,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Schore,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Serooskerke (Schouwen),Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Serooskerke (Walcheren),Wind.,,,,,,,,,,,,,,,,,,,,,,,0
,Stoom.,,,,,,,,,,,,,,,,,,,,,,,0
Sluis,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Stavenisse,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Stoppeldijk,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Tholeu,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Veere,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
,Stoom.,,,,,,,,,,,,,,,,,,,,,,,0
Vlissingen,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Vrouwenpolder,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Waarde,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Waterlandkerkje,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
,Stoom.,,,,,,,,,,,,,,,,,,,,,,,0
Wemeldinge,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Westdorpe,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Westkapelle,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
,Stoom.,,,,,,,,,,,,,,,,,,,,,,,0
Wissekerke,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
,Stoom.,,,,,,,,,,,,,,,,,,,,,,,0
Wolphaartsdijk,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Yerseke,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Zaamslag,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
,Stoom.,,,,,,,,,,,,,,,,,,,,,,,0
Zierikzee,Gas.,,,,,,,,,,,,,,,,,,,,,,,0
,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Zonnemaire,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Zoutelande,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Zuiddorpe,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
Zuidzande,Wind.,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,
Totaal,Stoom.,,1,0,0,2,3,1,0,0,0,2,0,0,3,0,3,12,1,0,0,6,0,34
Totaal,Gas.,,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,7
Totaal,Water.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Totaal,Wind.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103,0,0,1,0,0,105
Algemeen totaal,,,1,1,0,2,4,1,0,0,0,4,0,0,5,0,4,115,1,0,2,6,0,146
