Tabel 5: Opgave van het aantal krachtswerktuigen in de onderscheidene beroepsklassen gebezigd.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,Gedreven door,,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,Totaal,Imagenr
Ottersum,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,
Oud-Valkenburg,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,
Oud-Vroenhoven,Stoom,,,,,,,,,,,,,,,,,2,,,,,,2,
,Water,,,,,,,,,,,,,,,,,1,,,,,,1,
Pieter (St.),Water,,,,,,,,,,,,,,,,,1,,,,,,1,
Posterholt,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,
Roermond,Stoom,,,1,,,,1,1,,,1,,,,2,,6,,,,,,12,
,Gas,,,3,,,,,,,,1,,,1,,1,2,,,1,,,9,
,Water,,,,,,,,,,,,,,,,,2,,,,,,2,
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,
Roggel,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,
Roosteren,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Schimmert,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Schimmen,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Schinveld,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Sevenum,Stoom,,,,,,,,,,,,,,,,,2,,,,,,2,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Simpelveld,Water,,,,,,,,,,,,,,,,,1,,,,,,1,
Sittard,Stoom,,,,,,,,,,,,,,,,,2,,,,,,2,
,Gas,,,,,,,,,,,,,,,,,1,,,,,,1,
,Water,,,,,,,,,,,,,,,,,3,,,,,,3,
Slenaken,Water,,,,,,,,,,,,,,,,,1,,,,,,1,
Spaubeek,Water,,,,,,,,,,,,,,,,1,1,,,,,,2,
Stein,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Stevensweert,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Susteren,Water,,,,,,,,,,,,,,,,,2,,,,,,2,
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,
Swalmen,Stoom,,,,,,,,,,,,,,1,,,1,,,,,,2,
,Water,,,,,,,,,,,,,,,,,1,,,,,,1,
