Tabel 6: Opgave van het aantal krachtswerktuigen in de onderscheidene beroepsklassen gebezigd,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,Gedreven door,,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,Totaal,,
,Gas,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Grave,Stoom,,,,1,,,,,,,,,,,,,1,,,,,,2,,
,Gas,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
s Gravenmoer,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Haaren,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Halsteren,Stoom,,,,,,1,,,,,,,,,,,2,,,,,,3,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Haps,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Hedikhuizen,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Heesbeen,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Heesch,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Heeswijk,Stoom,,,,,,,,,,,,,,,,,2,,,,,,2,,
Heeze,Stoom,,,,,,,,,,,,,,,1,,,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Helmond,Stoom,,,,,,1,,,,,4,,,4,15,,3,,,1,1,,29,,
,Gas,,,1,,,,,,,,,,,,,,,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,,
Helvoirt,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Herpen,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
s Hertogenbosch,Stoom,,,1,,,,1,,,,4,,,2,,1,13,,,,,,22,,
,Gas,,,3,,,,,,2,,,,,,,,2,,,2,,,9,,
,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,,
Heusden,Stoom,,,,,,,,,,,2,,,,,,,,,1,,,3,,
,Gas,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Hilvarenbeek,Stoom,,,,,,,1,,,,,,,,,,,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,,
Hoeven,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Hooge en Lagemierde,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Hoogeloon c. a.,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Huybergen,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Klundert,Stoom,,,,,,,,,,,,,,,,,1,,,2,,,3,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Leende ,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Liempde,Water,,,,,,,,,,,,,,,,,1,,,,,,1,,
Lierdop,Water,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Lieshout,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Linden,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Lith,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Loon op Zand,Wind,,,,,,,,,,,,,,,,,6,,,,,,6,,
Luygestal,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Maarheeze,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Maashees,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Made c. a.,Wind,,,,,,1,,,,,,,,,,,1,,,,,,2,,
Meeuwen c. a.,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Megen c. a.,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Michiels-Gestel (St.),Wind,,,,,,,,,,,,,,,,,3,,,,,,3,,
Mierlo,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,,
Mill c. a.,Wind,,,,,,,,,,,,,,,,,,1,,,,,1,,
Moergestel,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Nieuwkuyk,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Nieuw - Vosmeer,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Nistelrode,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,,
Nuland,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Numen c. a.,Water,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Oedenrode (St.),Water,,,,,,,,,,,,,,,,1,3,,,,,,4,,
,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,,
