Tabel 5: Opgave van het aantal krachtswerktuigen in de onderscheidene beroepsklassen gebezigd. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,Krachts-werktuig gedreven door,,BEROEPSKLASSE,,,,,,,,,,,,,,,,,,,,,Totaal,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,I,II,III,IV,V,VI,VII,VII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stoom.,,,,,,,1,,,,1,1,,,,1,3,,,,,,7,BT_1889,04_T5,660,661,FR,30_0514
Leeuwarderadeel,Wind.,,,,,,,,,,,,,,,,1,2,,,,,7,10,BT_1889,04_T5,660,661,FR,30_0514
,Stoom.,,,,,,,,,,,,,,,,,,,,,,1,1,BT_1889,04_T5,660,661,FR,30_0514
Lemsterland,Wind.,,,,,,1,,,,,,,,,,,1,,,,,8,10,BT_1889,04_T5,660,661,FR,30_0514
,Stoom.,,,,,,,,,,,1,,,,,,1,,,,,,2,BT_1889,04_T5,660,661,FR,30_0514
Menaldumadeel,Water.,,,,,,,,,,,,,,,,,,2,,,,,2,BT_1889,04_T5,660,661,FR,30_0514
,Wind.,,,,,,1,,,,,,,,,,,2,4,,,,3,10,BT_1889,04_T5,660,661,FR,30_0514
,Stoom.,,,,,,,,,,,,,,,,,1,,,,1,,2,BT_1889,04_T5,660,661,FR,30_0514
Oostdongeradeel,Water.,,,,,,,,,,,,,,,,,,1,,,,,1,BT_1889,04_T5,660,661,FR,30_0514
,Wind.,,,,,,,,,,,,,,,,,8,2,,1,,,11,BT_1889,04_T5,660,661,FR,30_0514
,Stoom.,,,,,,,,,,,,,,,,,2,,,,,,2,BT_1889,04_T5,660,661,FR,30_0514
Ooststellingwerf,Wind.,,,,,,,,,,,,,,,,,8,,,,,,8,BT_1889,04_T5,660,661,FR,30_0514
,Stoom.,,,,,,,,,1,,,,,,,1,3,,,,,,5,BT_1889,04_T5,660,661,FR,30_0514
Opsterland,Wind.,,,,,,,,,,,,,,,,,9,,,,,,9,BT_1889,04_T5,660,661,FR,30_0514
,Stoom.,,,,,,,,,,,,,,,,1,1,,,,,,2,BT_1889,04_T5,660,661,FR,30_0514
Rauwerderhem,Water.,,,,,,,,,,,,,,,,,,1,,,,,1,BT_1889,04_T5,660,661,FR,30_0514
,Wind.,,,,,,,,,,,,,,,,,,1,,,,,1,BT_1889,04_T5,660,661,FR,30_0514
,Stoom.,,1,,,,,,,1,,,,,,,,3,,,,,,5,BT_1889,04_T5,660,661,FR,30_0514
Schoterland,Wind.,,,,,,,,,,,,,,,,,3,,,2,,,5,BT_1889,04_T5,660,661,FR,30_0514
Sloten,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,BT_1889,04_T5,660,661,FR,30_0514
,Stoom.,,,,,,,,,1,,,,,,,1,,,,,,,2,BT_1889,04_T5,660,661,FR,30_0514
Smallingerland,Wind.,,,,,,,,,,,,,,,,,4,,,,,,4,BT_1889,04_T5,660,661,FR,30_0514
,Stoom.,,1,,,,,,,2,,3,,,1,,6,11,1,,3,,,28,BT_1889,04_T5,660,661,FR,30_0514
