Tabel 4: Hoofden van gezinnen en afzonderlijk levende personen zonder beroep,,,,,
,,,,,
Gemeenten,,MANNEN,,VROUWEN,
,,Hoofden,Afzonderlijk levenden,Hoofden,Afzonderlijk levenden
,,,,,
Utrecht,,625,330,1602,711
Totaal,,625,330,1602,711
Amersfoort,,210,22,306,123
Baarn,,109,6,124,25
Rhenen,,26,1,75,19
Zeist,,97,9,176,53
Totaal,,442,38,681,220
Totaal overige gemeenten,,916,106,2376,596
Agemeen totaal,,1983,474,4659,1527
,,,,,
,,,,,
,,,,,
,,,,,
